ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	8.243s	coverage: 87.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.816s	coverage: 97.6% of statements
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	1.258s	coverage: 79.3% of statements
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	1.589s	coverage: 83.9% of statements
ok  	github.com/relux-works/agent-session-manager/internal/config	2.560s	coverage: 86.6% of statements
ok  	github.com/relux-works/agent-session-manager/internal/scalar	1.844s	coverage: 90.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/specpin	2.268s	coverage: 85.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/traceability	3.784s	coverage: 85.0% of statements
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	19.673s	coverage: 87.5% of statements
