ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	5.124s
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.714s
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	0.557s
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	0.960s
ok  	github.com/relux-works/agent-session-manager/internal/config	1.813s
ok  	github.com/relux-works/agent-session-manager/internal/scalar	1.135s
ok  	github.com/relux-works/agent-session-manager/internal/specpin	1.641s
ok  	github.com/relux-works/agent-session-manager/internal/traceability	1.492s
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	17.040s
