ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	9.645s	coverage: 87.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/catalog	3.329s	coverage: 97.6% of statements
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	4.071s	coverage: 79.3% of statements
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	5.097s	coverage: 83.9% of statements
ok  	github.com/relux-works/agent-session-manager/internal/config	5.256s	coverage: 80.6% of statements
ok  	github.com/relux-works/agent-session-manager/internal/scalar	2.975s	coverage: 90.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/specpin	3.655s	coverage: 85.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/traceability	4.873s	coverage: 85.0% of statements
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	24.228s	coverage: 87.5% of statements
