ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	50.656s
ok  	github.com/relux-works/agent-session-manager/internal/catalog	1.268s
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	2.552s
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	2.574s
ok  	github.com/relux-works/agent-session-manager/internal/config	2.203s
ok  	github.com/relux-works/agent-session-manager/internal/scalar	2.992s
ok  	github.com/relux-works/agent-session-manager/internal/specpin	2.561s
ok  	github.com/relux-works/agent-session-manager/internal/traceability	4.466s
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	15.456s
