ok  	github.com/relux-works/agent-session-manager/internal/canonicaljson	20.225s	coverage: 97.2% of statements
ok  	github.com/relux-works/agent-session-manager/internal/catalog	0.364s	coverage: 97.6% of statements
ok  	github.com/relux-works/agent-session-manager/internal/catalog/cmd/cataloggen	1.179s	coverage: 79.3% of statements
ok  	github.com/relux-works/agent-session-manager/internal/cataloggen	0.792s	coverage: 83.9% of statements
ok  	github.com/relux-works/agent-session-manager/internal/config	2.883s	coverage: 94.7% of statements
ok  	github.com/relux-works/agent-session-manager/internal/localstore	10.761s	coverage: 85.6% of statements
ok  	github.com/relux-works/agent-session-manager/internal/scalar	2.209s	coverage: 90.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/specpin	3.034s	coverage: 85.1% of statements
ok  	github.com/relux-works/agent-session-manager/internal/traceability	2.851s	coverage: 85.0% of statements
ok  	github.com/relux-works/agent-session-manager/internal/traceability/cmd/tracecheck	21.089s	coverage: 87.5% of statements
